,0
0,www.businessinsider.com
1,www.theguardian.com
2,news84media.com
3,eaworldview.com
4,charter97.org
5,www.spamchronicles.com
6,eturbonews.com
7,www.nytimes.com
8,rubryka.com
9,indianexpress.com
10,www.themoscowtimes.com
11,www.thestar.com
12,www.staradvertiser.com
13,www.thenationalnews.com
14,www.worldinwar.eu
15,www.scoopnest.com
16,metallicman.com
17,metallicman.com
18,www.nytimes.com
19,edition.cnn.com
20,edition.cnn.com
21,www.rferl.org
22,www.rferl.org
23,www.aljazeera.com
24,www.newsnationnow.com
25,www.rutlandherald.com
26,news84media.com
27,news84media.com
28,www.reuters.com
29,www.usnews.com
30,www.businessinsider.com
31,www.telegraph.co.uk
32,hindustannewshub.com
33,www.ny1.com
34,www.voanews.com
35,www.glasamerike.net
36,thehill.com
37,www.politico.eu
38,www.nytimes.com
39,www.cnn.com
40,www.nytimes.com
41,www.nytimes.com
42,www.space.com
43,www.livescience.com
44,nypost.com
45,www.sciencetimes.com
46,www.dw.com
47,www.theguardian.com
48,www.reuters.com
49,www.huffpost.com
